Frame no, Execution time, Jitter time
0, 11.932084, -1.932084
1, 9.772500, 0.227500
2, 9.877344, 0.122656
3, 8.070781, 1.929219
4, 8.261146, 1.738854
5, 7.177032, 2.822968
6, 5.138073, 4.861927
7, 5.142605, 4.857395
8, 5.013125, 4.986875
9, 5.989270, 4.010730
10, 5.690104, 4.309896
11, 9.935834, 0.064166
12, 10.555000, -0.555000
13, 9.605990, 0.394010
14, 8.964739, 1.035261
15, 8.171354, 1.828646
16, 0.000000, 10.000000
17, 8.944531, 1.055469
18, 8.736667, 1.263333
19, 9.147604, 0.852396
20, 8.520052, 1.479948
21, 11.173542, -1.173542
22, 8.473958, 1.526042
23, 8.027760, 1.972240
24, 8.363177, 1.636823
25, 0.000000, 10.000000
26, 9.406354, 0.593646
27, 9.289896, 0.710104
28, 8.566355, 1.433645
29, 10.225885, -0.225885
30, 8.484531, 1.515469
31, 8.689375, 1.310625
32, 8.963541, 1.036459
33, 8.989323, 1.010677
34, 8.554636, 1.445364
35, 9.030886, 0.969114
36, 8.256615, 1.743385
37, 8.573385, 1.426615
38, 8.856094, 1.143906
39, 8.708802, 1.291198
40, 9.056354, 0.943646
41, 8.463750, 1.536250
42, 7.973229, 2.026771
43, 10.464063, -0.464063
44, 8.405625, 1.594375
45, 9.181145, 0.818855
46, 9.329844, 0.670156
47, 8.390938, 1.609062
48, 8.848854, 1.151146
49, 9.016927, 0.983073
50, 8.155312, 1.844688
51, 8.658281, 1.341719
52, 9.863906, 0.136094
53, 0.000000, 10.000000
54, 10.395573, -0.395573
55, 8.270782, 1.729218
56, 8.247709, 1.752291
57, 8.529844, 1.470156
58, 9.716667, 0.283333
59, 8.728177, 1.271823
60, 9.465573, 0.534427
61, 7.915730, 2.084270
62, 8.131041, 1.868959
63, 0.000000, 10.000000
64, 8.222864, 1.777136
65, 8.309375, 1.690625
66, 8.168646, 1.831354
67, 8.742188, 1.257812
68, 10.451146, -0.451146
69, 8.333125, 1.666875
70, 7.724896, 2.275104
71, 9.215573, 0.784427
72, 0.000000, 10.000000
73, 7.921302, 2.078698
74, 9.265781, 0.734219
75, 8.861406, 1.138594
76, 10.871823, -0.871823
77, 8.030104, 1.969896
78, 7.734948, 2.265052
79, 9.441980, 0.558020
80, 8.069375, 1.930625
81, 9.234584, 0.765416
82, 9.693698, 0.306302
83, 9.157864, 0.842136
84, 10.054531, -0.054531
85, 9.481458, 0.518542
86, 8.866979, 1.133021
87, 8.391146, 1.608854
88, 8.259688, 1.740312
89, 9.555730, 0.444270
90, 9.666771, 0.333229
91, 0.000000, 10.000000
92, 8.204896, 1.795104
93, 10.339218, -0.339218
94, 8.247864, 1.752136
95, 8.160469, 1.839531
96, 8.587656, 1.412344
97, 9.262656, 0.737344
98, 8.146354, 1.853646
99, 10.565885, -0.565885
