Frame no, Execution time, Jitter time
0, 3.604532, 46.395468
1, 4.170989, 45.829011
2, 4.124844, 45.875156
3, 3.333646, 46.666354
4, 4.863959, 45.136041
5, 3.182448, 46.817552
6, 6.045052, 43.954948
7, 3.307135, 46.692865
8, 3.575573, 46.424427
9, 4.154740, 45.845260
10, 3.789375, 46.210625
11, 4.161875, 45.838125
12, 3.422708, 46.577292
13, 3.735572, 46.264428
14, 3.251979, 46.748021
15, 4.319583, 45.680417
16, 4.212448, 45.787552
17, 3.805000, 46.195000
18, 3.178906, 46.821094
19, 3.599167, 46.400833
20, 3.479948, 46.520052
21, 3.989375, 46.010625
22, 3.767552, 46.232448
23, 3.510938, 46.489062
24, 4.036406, 45.963594
25, 5.622396, 44.377604
26, 5.187865, 44.812135
27, 3.224583, 46.775417
28, 3.474011, 46.525989
29, 3.651197, 46.348803
30, 3.234896, 46.765104
31, 5.603958, 44.396042
32, 3.426041, 46.573959
33, 3.689323, 46.310677
34, 3.390469, 46.609531
35, 4.024115, 45.975885
36, 3.374583, 46.625417
37, 3.299323, 46.700677
38, 3.345104, 46.654896
39, 3.335365, 46.664635
40, 3.128229, 46.871771
41, 3.833542, 46.166458
42, 3.284583, 46.715417
43, 3.444115, 46.555885
44, 3.538489, 46.461511
45, 3.153750, 46.846250
46, 3.495313, 46.504687
47, 2.987604, 47.012396
48, 3.080729, 46.919271
49, 3.437344, 46.562656
50, 3.162760, 46.837240
51, 3.415417, 46.584583
52, 4.652239, 45.347761
53, 3.202136, 46.797864
54, 3.559739, 46.440261
55, 3.209948, 46.790052
56, 3.224635, 46.775365
57, 3.325416, 46.674584
58, 3.404531, 46.595469
59, 3.145729, 46.854271
60, 3.284010, 46.715990
61, 3.584948, 46.415052
62, 2.976666, 47.023334
63, 3.279114, 46.720886
64, 3.207604, 46.792396
65, 3.300469, 46.699531
66, 0.000000, 50.000000
67, 3.643021, 46.356979
68, 3.099219, 46.900781
69, 3.248542, 46.751458
70, 3.111563, 46.888437
71, 3.458229, 46.541771
72, 3.163073, 46.836927
73, 4.100312, 45.899688
74, 3.241458, 46.758542
75, 3.445833, 46.554167
76, 3.028906, 46.971094
77, 3.238959, 46.761041
78, 2.984323, 47.015677
79, 3.230416, 46.769584
80, 3.190521, 46.809479
81, 3.331250, 46.668750
82, 3.045938, 46.954062
83, 3.124427, 46.875573
84, 3.209635, 46.790365
85, 3.209479, 46.790521
86, 3.323958, 46.676042
87, 3.491198, 46.508802
88, 3.271302, 46.728698
89, 3.237291, 46.762709
90, 3.377813, 46.622187
91, 3.672708, 46.327292
92, 2.988802, 47.011198
93, 3.547239, 46.452761
94, 3.194739, 46.805261
95, 3.681458, 46.318542
96, 3.270468, 46.729532
97, 3.184062, 46.815938
98, 3.216198, 46.783802
99, 3.155000, 46.845000
0, 3.107864, 0.397570
1, 3.031302, 0.474132
2, 2.994323, 0.511111
3, 2.867031, 0.638403
4, 3.011094, 0.494340
5, 3.120937, 0.384497
6, 3.097500, 0.407934
7, 2.927292, 0.578142
8, 3.046302, 0.459132
9, 3.092968, 0.412466
10, 2.864479, 0.640955
11, 3.182239, 0.323195
12, 3.002187, 0.503247
13, 3.156302, 0.349132
14, 3.020469, 0.484965
15, 3.008333, 0.497101
16, 2.968125, 0.537309
17, 2.964583, 0.540851
18, 2.999011, 0.506423
19, 0.000000, 3.505434
20, 3.079427, 0.426007
21, 2.988855, 0.516579
22, 0.000000, 3.505434
23, 3.155937, 0.349497
24, 2.881510, 0.623924
25, 2.968646, 0.536788
26, 2.972344, 0.533090
27, 2.951979, 0.553455
28, 2.906823, 0.598611
29, 3.016459, 0.488975
30, 2.993594, 0.511840
31, 3.081511, 0.423923
32, 3.060886, 0.444548
33, 2.898385, 0.607049
34, 2.877813, 0.627621
35, 3.149635, 0.355799
36, 3.022500, 0.482934
37, 2.810885, 0.694549
38, 3.126094, 0.379340
39, 3.026354, 0.479080
40, 3.095469, 0.409965
41, 3.044375, 0.461059
42, 3.127448, 0.377986
43, 3.666718, -0.161284
44, 2.809896, 0.695538
45, 2.909271, 0.596163
46, 2.942709, 0.562725
47, 3.131302, 0.374132
48, 2.930104, 0.575330
49, 2.919896, 0.585538
50, 3.041510, 0.463924
51, 3.130573, 0.374861
52, 3.245729, 0.259705
53, 3.330625, 0.174809
54, 3.004427, 0.501007
55, 3.299532, 0.205902
56, 3.081822, 0.423612
57, 3.070417, 0.435017
58, 3.071510, 0.433924
59, 3.143593, 0.361841
60, 2.863750, 0.641684
61, 3.172448, 0.332986
62, 2.861927, 0.643507
63, 3.256094, 0.249340
64, 3.124271, 0.381163
65, 3.145521, 0.359913
66, 2.923802, 0.581632
67, 3.464844, 0.040590
68, 2.893437, 0.611997
69, 3.129896, 0.375538
70, 3.183698, 0.321736
71, 3.002552, 0.502882
72, 3.028073, 0.477361
73, 2.904011, 0.601423
74, 3.187083, 0.318351
75, 2.939479, 0.565955
76, 2.948021, 0.557413
77, 3.143281, 0.362153
78, 0.000000, 3.505434
79, 2.888334, 0.617100
80, 3.078177, 0.427257
81, 3.229115, 0.276319
82, 2.873698, 0.631736
83, 2.787344, 0.718090
84, 2.886042, 0.619392
85, 2.975208, 0.530226
86, 2.990521, 0.514913
87, 3.034166, 0.471268
88, 3.143438, 0.361996
89, 3.223594, 0.281840
90, 2.905156, 0.600278
91, 3.147552, 0.357882
92, 3.225937, 0.279497
93, 3.043333, 0.462101
94, 3.121614, 0.383820
95, 3.281250, 0.224184
96, 3.073282, 0.432152
97, 3.000052, 0.505382
98, 2.974531, 0.530903
99, 3.144323, 0.361111
