Frame no, Execution time, Jitter time
0, 1.061354, 0.638646
1, 6.278333, -4.578333
2, 0.884427, 0.815573
3, 3.351927, -1.651927
4, 0.934584, 0.765416
5, 2.660156, -0.960156
6, 0.956510, 0.743490
7, 3.057187, -1.357187
8, 0.896146, 0.803854
9, 3.126198, -1.426198
10, 0.971719, 0.728281
11, 3.084531, -1.384531
12, 1.024792, 0.675208
13, 3.070260, -1.370260
14, 1.050260, 0.649740
0, 1.037396, 0.583023
1, 1.139375, 0.481044
2, 0.985782, 0.634637
3, 1.037187, 0.583232
4, 1.027917, 0.592502
5, 1.037761, 0.582658
6, 1.077188, 0.543231
7, 1.031406, 0.589013
8, 2.923177, -1.302758
9, 3.012187, -1.391768
10, 3.190677, -1.570258
11, 3.014115, -1.393696
12, 3.068802, -1.448383
13, 1.054480, 0.565939
14, 2.870678, -1.250259
15, 1.050782, 0.569637
16, 2.786459, -1.166040
17, 0.996041, 0.624378
18, 3.089167, -1.468748
19, 1.018178, 0.602241
0, 2.856459, -1.034021
1, 2.856459, -1.034021
